Experiment, Sample, Type,  Number of Nodes, Best Know Solution, Random route Solution, QBSolv classic, QBSolv classic full TSP, QB classic time 
1,burma14,TSP,14,3323,6672.153846153846,3155,3553,5.181344509124756
2,burma14,TSP,14,3323,6672.153846153846,3389,3787,3.8435864448547363
3,burma14,TSP,14,3323,6672.153846153846,3625,4023,3.767693281173706
4,burma14,TSP,14,3323,6672.153846153846,3115,3513,3.9448039531707764
5,burma14,TSP,14,3323,6672.153846153846,3498,3896,4.362231492996216
6,burma14,TSP,14,3323,6672.153846153846,3570,3968,7.964309453964233
7,burma14,TSP,14,3323,6672.153846153846,3513,3911,4.71607232093811
8,burma14,TSP,14,3323,6672.153846153846,3420,3818,4.658847808837891
9,burma14,TSP,14,3323,6672.153846153846,3679,4077,4.752676963806152
10,burma14,TSP,14,3323,6672.153846153846,3523,3921,4.249765872955322
11,burma14,TSP,14,3323,6672.153846153846,3515,3913,6.0195066928863525
12,burma14,TSP,14,3323,6672.153846153846,3162,3560,5.127609491348267
13,burma14,TSP,14,3323,6672.153846153846,3547,3945,4.262121915817261
14,burma14,TSP,14,3323,6672.153846153846,3172,3570,4.0841686725616455
15,burma14,TSP,14,3323,6672.153846153846,3261,3659,4.28629207611084
16,burma14,TSP,14,3323,6672.153846153846,3321,3719,3.781810760498047
17,burma14,TSP,14,3323,6672.153846153846,3350,3748,3.843208074569702
18,burma14,TSP,14,3323,6672.153846153846,3404,3802,5.123061180114746
19,burma14,TSP,14,3323,6672.153846153846,3383,3781,4.467262029647827
20,burma14,TSP,14,3323,6672.153846153846,3536,3934,3.6391496658325195
21,burma14,TSP,14,3323,6672.153846153846,3508,3906,6.007805824279785
22,burma14,TSP,14,3323,6672.153846153846,3133,3531,4.98121190071106
23,burma14,TSP,14,3323,6672.153846153846,3539,3937,5.253896951675415
24,burma14,TSP,14,3323,6672.153846153846,3277,3675,3.695908546447754
25,burma14,TSP,14,3323,6672.153846153846,3239,3637,5.2340521812438965
26,burma14,TSP,14,3323,6672.153846153846,3481,3879,3.793945550918579
27,burma14,TSP,14,3323,6672.153846153846,3100,3498,3.9345004558563232
28,burma14,TSP,14,3323,6672.153846153846,3407,3805,4.227419376373291
29,burma14,TSP,14,3323,6672.153846153846,3280,3678,6.187395334243774
30,burma14,TSP,14,3323,6672.153846153846,3306,3704,4.58687686920166
31,burma14,TSP,14,3323,6672.153846153846,3504,3902,4.108059406280518
32,burma14,TSP,14,3323,6672.153846153846,3601,3999,4.376920700073242
33,burma14,TSP,14,3323,6672.153846153846,3360,3758,4.982162237167358
34,burma14,TSP,14,3323,6672.153846153846,3132,3530,4.260874271392822
35,burma14,TSP,14,3323,6672.153846153846,3326,3724,4.104743480682373
36,burma14,TSP,14,3323,6672.153846153846,3122,3520,3.851644277572632
37,burma14,TSP,14,3323,6672.153846153846,3330,3728,4.273327827453613
38,burma14,TSP,14,3323,6672.153846153846,3333,3731,3.7136878967285156
39,burma14,TSP,14,3323,6672.153846153846,3428,3826,6.777817726135254
40,burma14,TSP,14,3323,6672.153846153846,3473,3871,3.998481035232544
41,burma14,TSP,14,3323,6672.153846153846,3242,3640,4.757289886474609
42,burma14,TSP,14,3323,6672.153846153846,3206,3604,4.172476291656494
43,burma14,TSP,14,3323,6672.153846153846,3234,3632,3.9924378395080566
44,burma14,TSP,14,3323,6672.153846153846,3239,3637,3.7391304969787598
45,burma14,TSP,14,3323,6672.153846153846,3357,3755,4.757160663604736
46,burma14,TSP,14,3323,6672.153846153846,3576,3974,3.556987762451172
47,burma14,TSP,14,3323,6672.153846153846,3155,3553,5.153386354446411
48,burma14,TSP,14,3323,6672.153846153846,3461,3859,4.891091823577881
49,burma14,TSP,14,3323,6672.153846153846,3492,3890,4.3603456020355225
50,burma14,TSP,14,3323,6672.153846153846,3487,3885,4.563492059707642
51,burma14,TSP,14,3323,6672.153846153846,3614,4012,4.329243183135986
52,burma14,TSP,14,3323,6672.153846153846,3477,3875,4.137503623962402
53,burma14,TSP,14,3323,6672.153846153846,3457,3855,4.1701812744140625
54,burma14,TSP,14,3323,6672.153846153846,3475,3873,4.732930898666382
55,burma14,TSP,14,3323,6672.153846153846,3508,3906,5.11147141456604
56,burma14,TSP,14,3323,6672.153846153846,3405,3803,4.427423000335693
57,burma14,TSP,14,3323,6672.153846153846,3484,3882,4.226050853729248
58,burma14,TSP,14,3323,6672.153846153846,3446,3844,4.38334321975708
59,burma14,TSP,14,3323,6672.153846153846,3429,3827,4.02503776550293
60,burma14,TSP,14,3323,6672.153846153846,3446,3844,5.705202579498291
61,burma14,TSP,14,3323,6672.153846153846,3245,3643,5.130908012390137
62,burma14,TSP,14,3323,6672.153846153846,3195,3593,5.197048187255859
63,burma14,TSP,14,3323,6672.153846153846,3110,3508,4.866868257522583
64,burma14,TSP,14,3323,6672.153846153846,3282,3680,3.7488152980804443
65,burma14,TSP,14,3323,6672.153846153846,3543,3941,3.4503514766693115
66,burma14,TSP,14,3323,6672.153846153846,3361,3759,5.199918985366821
67,burma14,TSP,14,3323,6672.153846153846,3473,3871,4.450975656509399
68,burma14,TSP,14,3323,6672.153846153846,3132,3530,3.604668140411377
69,burma14,TSP,14,3323,6672.153846153846,3522,3920,3.7985308170318604
70,burma14,TSP,14,3323,6672.153846153846,3110,3508,4.088846921920776
71,burma14,TSP,14,3323,6672.153846153846,3201,3599,4.6263957023620605
72,burma14,TSP,14,3323,6672.153846153846,3587,3985,4.231051921844482
73,burma14,TSP,14,3323,6672.153846153846,3394,3792,7.306402683258057
74,burma14,TSP,14,3323,6672.153846153846,3378,3776,4.349875450134277
75,burma14,TSP,14,3323,6672.153846153846,3510,3908,4.819355010986328
76,burma14,TSP,14,3323,6672.153846153846,3242,3640,4.79522967338562
77,burma14,TSP,14,3323,6672.153846153846,3376,3774,4.280744314193726
78,burma14,TSP,14,3323,6672.153846153846,3471,3869,4.232992887496948
79,burma14,TSP,14,3323,6672.153846153846,3394,3792,4.376672744750977
80,burma14,TSP,14,3323,6672.153846153846,3138,3536,4.45400071144104
81,burma14,TSP,14,3323,6672.153846153846,3345,3743,4.169472694396973
82,burma14,TSP,14,3323,6672.153846153846,3262,3660,4.880185604095459
83,burma14,TSP,14,3323,6672.153846153846,3589,3987,4.233394145965576
84,burma14,TSP,14,3323,6672.153846153846,3483,3881,4.252763986587524
85,burma14,TSP,14,3323,6672.153846153846,3335,3733,4.391023397445679
86,burma14,TSP,14,3323,6672.153846153846,3260,3658,5.12102746963501
87,burma14,TSP,14,3323,6672.153846153846,3487,3885,4.228729009628296
88,burma14,TSP,14,3323,6672.153846153846,3426,3824,4.451333999633789
89,burma14,TSP,14,3323,6672.153846153846,3178,3576,5.1368513107299805
90,burma14,TSP,14,3323,6672.153846153846,3230,3628,4.168558597564697
91,burma14,TSP,14,3323,6672.153846153846,3331,3729,4.633623123168945
92,burma14,TSP,14,3323,6672.153846153846,3622,4020,4.505347967147827
93,burma14,TSP,14,3323,6672.153846153846,3110,3508,5.5143632888793945
94,burma14,TSP,14,3323,6672.153846153846,3324,3722,6.339250087738037
95,burma14,TSP,14,3323,6672.153846153846,3455,3853,4.4701926708221436
96,burma14,TSP,14,3323,6672.153846153846,3495,3893,4.424907445907593
97,burma14,TSP,14,3323,6672.153846153846,3135,3533,4.7105021476745605
98,burma14,TSP,14,3323,6672.153846153846,3396,3794,4.582690000534058
99,burma14,TSP,14,3323,6672.153846153846,3308,3706,4.397167444229126
100,burma14,TSP,14,3323,6672.153846153846,3386,3784,4.100487947463989
101,ulysses22,TSP,22,7013,14809.61904761905,7054,7256,6.973490476608276
102,ulysses22,TSP,22,7013,14809.61904761905,7018,7220,5.71572208404541
103,ulysses22,TSP,22,7013,14809.61904761905,6515,6717,6.058919429779053
104,ulysses22,TSP,22,7013,14809.61904761905,6744,6946,6.149441957473755
105,ulysses22,TSP,22,7013,14809.61904761905,6775,6977,5.73708701133728
106,ulysses22,TSP,22,7013,14809.61904761905,6361,6563,5.510562181472778
107,ulysses22,TSP,22,7013,14809.61904761905,6581,6783,5.462220191955566
108,ulysses22,TSP,22,7013,14809.61904761905,6787,6989,6.337010622024536
109,ulysses22,TSP,22,7013,14809.61904761905,6886,7088,6.01658034324646
110,ulysses22,TSP,22,7013,14809.61904761905,6692,6894,5.544574022293091
111,ulysses22,TSP,22,7013,14809.61904761905,6994,7196,5.488575458526611
112,ulysses22,TSP,22,7013,14809.61904761905,6359,6561,7.73322606086731
113,ulysses22,TSP,22,7013,14809.61904761905,6133,6335,6.840981483459473
114,ulysses22,TSP,22,7013,14809.61904761905,6700,6902,7.190117835998535
115,ulysses22,TSP,22,7013,14809.61904761905,6762,6964,5.757156610488892
116,ulysses22,TSP,22,7013,14809.61904761905,7134,7336,6.47288703918457
117,ulysses22,TSP,22,7013,14809.61904761905,6754,6956,7.6618547439575195
118,ulysses22,TSP,22,7013,14809.61904761905,6962,7164,5.9734978675842285
119,ulysses22,TSP,22,7013,14809.61904761905,6742,6944,5.3339738845825195
120,ulysses22,TSP,22,7013,14809.61904761905,6836,7038,5.565861225128174
121,ulysses22,TSP,22,7013,14809.61904761905,7070,7272,7.114526987075806
122,ulysses22,TSP,22,7013,14809.61904761905,6048,6250,5.4523024559021
123,ulysses22,TSP,22,7013,14809.61904761905,6554,6756,7.281830549240112
124,ulysses22,TSP,22,7013,14809.61904761905,7130,7332,5.303009748458862
125,ulysses22,TSP,22,7013,14809.61904761905,6772,6974,5.067961692810059
126,ulysses22,TSP,22,7013,14809.61904761905,6837,7039,8.222708463668823
127,ulysses22,TSP,22,7013,14809.61904761905,7329,7531,5.600021123886108
128,ulysses22,TSP,22,7013,14809.61904761905,6700,6902,7.540004730224609
129,ulysses22,TSP,22,7013,14809.61904761905,7056,7258,6.9987170696258545
130,ulysses22,TSP,22,7013,14809.61904761905,6751,6953,6.606643915176392
131,ulysses22,TSP,22,7013,14809.61904761905,6558,6760,7.3497514724731445
132,ulysses22,TSP,22,7013,14809.61904761905,6469,6671,7.478468894958496
133,ulysses22,TSP,22,7013,14809.61904761905,6826,7028,6.9792561531066895
134,ulysses22,TSP,22,7013,14809.61904761905,6604,6806,8.401127576828003
135,ulysses22,TSP,22,7013,14809.61904761905,6653,6855,6.985046148300171
136,ulysses22,TSP,22,7013,14809.61904761905,6990,7192,6.677338361740112
137,ulysses22,TSP,22,7013,14809.61904761905,6822,7024,6.90664529800415
138,ulysses22,TSP,22,7013,14809.61904761905,6994,7196,6.409889459609985
139,ulysses22,TSP,22,7013,14809.61904761905,6866,7068,7.647164583206177
140,ulysses22,TSP,22,7013,14809.61904761905,6930,7132,7.324384450912476
141,ulysses22,TSP,22,7013,14809.61904761905,7138,7340,8.571974992752075
142,ulysses22,TSP,22,7013,14809.61904761905,6962,7164,7.62496280670166
143,ulysses22,TSP,22,7013,14809.61904761905,6510,6712,7.349535703659058
144,ulysses22,TSP,22,7013,14809.61904761905,6675,6877,6.661946773529053
145,ulysses22,TSP,22,7013,14809.61904761905,6927,7129,7.196113109588623
146,ulysses22,TSP,22,7013,14809.61904761905,6604,6806,7.236454010009766
147,ulysses22,TSP,22,7013,14809.61904761905,6821,7023,7.276796817779541
148,ulysses22,TSP,22,7013,14809.61904761905,6738,6940,7.710746765136719
149,ulysses22,TSP,22,7013,14809.61904761905,6854,7056,6.975558042526245
150,ulysses22,TSP,22,7013,14809.61904761905,7130,7332,6.678822755813599
151,ulysses22,TSP,22,7013,14809.61904761905,6800,7002,6.155855417251587
152,ulysses22,TSP,22,7013,14809.61904761905,6782,6984,8.662214756011963
153,ulysses22,TSP,22,7013,14809.61904761905,7169,7371,6.653034210205078
154,ulysses22,TSP,22,7013,14809.61904761905,6916,7118,6.761563301086426
155,ulysses22,TSP,22,7013,14809.61904761905,6721,6923,11.638737916946411
156,ulysses22,TSP,22,7013,14809.61904761905,7007,7209,7.424171209335327
157,ulysses22,TSP,22,7013,14809.61904761905,7314,7516,6.938093423843384
158,ulysses22,TSP,22,7013,14809.61904761905,6665,6867,14.965536117553711
159,ulysses22,TSP,22,7013,14809.61904761905,6767,6969,9.537578582763672
160,ulysses22,TSP,22,7013,14809.61904761905,6580,6782,9.336538314819336
161,ulysses22,TSP,22,7013,14809.61904761905,6485,6687,8.58712649345398
162,ulysses22,TSP,22,7013,14809.61904761905,6665,6867,8.554357290267944
163,ulysses22,TSP,22,7013,14809.61904761905,7134,7336,8.349754571914673
164,ulysses22,TSP,22,7013,14809.61904761905,6694,6896,12.136740446090698
165,ulysses22,TSP,22,7013,14809.61904761905,5867,6069,7.664490222930908
166,ulysses22,TSP,22,7013,14809.61904761905,6884,7086,9.32288908958435
167,ulysses22,TSP,22,7013,14809.61904761905,7121,7323,8.096933126449585
168,ulysses22,TSP,22,7013,14809.61904761905,6600,6802,10.506255865097046
169,ulysses22,TSP,22,7013,14809.61904761905,6925,7127,9.13849401473999
170,ulysses22,TSP,22,7013,14809.61904761905,6755,6957,10.630565404891968
171,ulysses22,TSP,22,7013,14809.61904761905,6783,6985,10.47685432434082
172,ulysses22,TSP,22,7013,14809.61904761905,7035,7237,8.489717960357666
173,ulysses22,TSP,22,7013,14809.61904761905,6584,6786,8.620275735855103
174,ulysses22,TSP,22,7013,14809.61904761905,7062,7264,6.7435431480407715
175,ulysses22,TSP,22,7013,14809.61904761905,6527,6729,6.07741904258728
176,ulysses22,TSP,22,7013,14809.61904761905,6722,6924,8.839295864105225
177,ulysses22,TSP,22,7013,14809.61904761905,6852,7054,6.685549020767212
178,ulysses22,TSP,22,7013,14809.61904761905,7054,7256,7.988795280456543
179,ulysses22,TSP,22,7013,14809.61904761905,6665,6867,6.557332754135132
180,ulysses22,TSP,22,7013,14809.61904761905,7164,7366,6.371906280517578
181,ulysses22,TSP,22,7013,14809.61904761905,6793,6995,6.8992438316345215
182,ulysses22,TSP,22,7013,14809.61904761905,6758,6960,9.614259243011475
183,ulysses22,TSP,22,7013,14809.61904761905,6934,7136,7.402187824249268
184,ulysses22,TSP,22,7013,14809.61904761905,7366,7568,6.3422205448150635
185,ulysses22,TSP,22,7013,14809.61904761905,6758,6960,8.911072015762329
186,ulysses22,TSP,22,7013,14809.61904761905,6489,6691,6.983499765396118
187,ulysses22,TSP,22,7013,14809.61904761905,6619,6821,6.967622518539429
188,ulysses22,TSP,22,7013,14809.61904761905,7250,7452,5.866840362548828
